ID,Nombre,PrecioTotalAlCosto,Cantidad,PrecioUnitarioAlCosto,PrecioConEnvioUNITARIO,PrecioConEnvioTOTAL,PrecioSugerido,EscalaDePrecio,PrecioSegunPesoVolumen,MiPrecio,VentasAprox,Link,AlternateLink,REAL,Vendidos,Disponible,SellRate
LTBD3,Brillo de Labios Take Me Back Beauty Creations,"31,5",24,"1,31","1,86","44,59","3,28",Ultraliviano,"1,60","3,19","76,58",https://www.cosmeticosalpormayor.com/products/brillo-de-labios-take-me-back-beauty-creations-venta-al-por-mayor-display-24-unidades-ltbd3?_pos=1&_sid=4174b0f6f&_ss=r,,3,0,24,"91,43%"
K50730-12,Máscara De Pestañas Mega Mousse Green Edition #003 Negro Pardusco Maybelline,"45,6",12,"3,80","5,38","64,55","9,50",Ultraliviano,"4,62","9,24","110,86",https://www.cosmeticosalpormayor.com/products/mascara-de-pestanas-mega-mousse-green-edition-003-negro-pardusco-maybelline-venta-al-por-mayor-12-unidades-k50730-12?_pos=1&_sid=cf3b2e578&_ss=r,,10,0,12,"105,26%"
AP12,Paleta de sombras 35 Colores Pro 6 Estilos Beauty Creations ,"12,11",1,"12,11","17,14","17,14","30,28",Ultraliviano,"14,72","29,44","29,44",https://www.cosmeticosalpormayor.com/products/paleta-de-sombras-35-colores-pro-6-estilos-surtidos-beauty-creations-venta-al-por-mayor-pack-6pzs-ap12?_pos=1&_sid=86c90149c&_ss=r,,29,0,1,"95,79%"
CSP101-104,Paleta de Sombra Colorscope Water Activate Fx Surtidas J.Cat Beauty,"5,98",2,"2,99","4,23","8,47","7,48",Ultraliviano,"3,63","7,27","14,54",https://www.cosmeticosalpormayor.com/products/paleta-de-sombra-colorscope-water-activate-fx-surtidas-j-cat-beauty-venta-al-por-mayor-8-unidades-csp101-104?_pos=1&_sid=e1240695f&_ss=r,,7,0,2,"93,65%"
PROASS,Sombras de Ojos Surtido Kara Beauty,"17,05",1,"17,05","24,14","24,14","42,63",Ultraliviano,"20,73","41,45","41,45",https://www.cosmeticosalpormayor.com/products/sombras-de-ojos-surtido-kara-beauty-venta-al-por-mayor-4-unidades-proass?_pos=1&_sid=6a046b78e&_ss=r,,35,0,1,"82,11%"
NO HAY CODIGO,KLEANCOLOR PALETA DE SOMBRAS DE OJOS,"11,25",5,"2,25","3,19","15,93","5,63",Ultraliviano,"2,74","5,47","27,35",,,5,0,5,"88,89%"
NO HAY CODIGO,KLEANCOLOR FUNDACIÓN EN POLVO FEATHERLIGHT,"8,1",5,"1,62","2,29","11,47","4,05",Ultraliviano,"1,97","3,94","19,69",,https://valmarcosmetics.com/cdn/shop/products/D_NQ_NP_758563-MLV48322880024_112021-O_1024x1024@2x.jpg?v=1641849755,4,0,5,"98,77%"
NO HAY CODIGO,L Oreal Paris Infallible Sombra de Ojos Waterproof 24 Horas Liquid Diamond,5,2,"2,50","3,54","7,08","6,25",Ultraliviano,"3,04","6,08","12,16",,https://m.media-amazon.com/images/I/41AmiT2jWIL.jpg,6,0,2,"96,00%"
CAD93.1,Base Truly Matte L.A. Colors,"8,82",3,"2,94","4,16","12,49","7,35",Ultraliviano,"3,57","7,15","21,44",https://www.cosmeticosalpormayor.com/products/venta-al-por-mayor-l-a-colors-base-truly-mate-porcelain-pack-12pzs-clm351?_pos=3&_sid=64ee86a99&_ss=r,,10,0,3,"136,05%"
CAL561-566,Delineador de Labios Automático L.A. Colors,"4,26",6,"0,71","1,01","6,03","1,78",Ultraliviano,"0,86","1,73","10,36",https://www.cosmeticosalpormayor.com/products/delineador-de-labios-automatico-surtido-l-a-colors-venta-al-por-mayor-pack-18-unidades-cal561-566?_pos=1&_sid=d87c1e0a4&_ss=r,,2,0,6,"112,68%"
CLAC470,Paleta de Sombras Fruity Fun L.A. Colors,"7,56",4,"1,89","2,68","10,70","4,73",Ultraliviano,"2,30","4,60","18,38",https://www.cosmeticosalpormayor.com/products/paleta-de-sombras-fruity-fun-l-a-colors-venta-al-por-mayor-display-24-unidades-clac470?_pos=1&_sid=188a547a5&_ss=r,,5,0,4,"105,82%"
K11662,Polvo Súper Mezclable W5.5 True Match Suntan Loreal,14,4,"3,50","4,95","19,82","8,75",Ultraliviano,"4,25","8,51","34,04",https://www.cosmeticosalpormayor.com/products/polvo-super-mezclable-w5-5-true-match-suntan-loreal-venta-al-por-mayor-72-unidades-k11662?_pos=1&_sid=b3c7e650a&_ss=r,,8,0,4,"91,43%"
K11661,Polvo Súper Mezclable True Match W4.5 Beige Fresco Loreal,14,4,"3,50","4,95","19,82","8,75",Ultraliviano,"4,25","8,51","34,04",https://www.cosmeticosalpormayor.com/products/polvo-super-mezclable-true-match-w4-5-beige-fresco-loreal-venta-al-por-mayor-72-unidades-k11661?_pos=1&_sid=a2d143813&_ss=r,,8,0,4,"91,43%"
K30805,The City Mini Paleta de Sombras de Ojos Cocoa City Maybelline,15,6,"2,50","3,54","21,23","6,25",Ultraliviano,"3,04","6,08","36,47",https://www.cosmeticosalpormayor.com/products/the-city-mini-paleta-de-sombras-de-ojos-cocoa-city-maybelline-venta-al-por-mayor-72-unidades-k30805?_pos=1&_sid=fe7a70485&_ss=r,,6,0,6,"96,00%"
K32831,Máscara de Pestañas Resistente al Agua Colossal #212 Muy Negro Maybelline,"11,97",5,"2,39","3,39","16,94","5,99",Ultraliviano,"2,91","5,82","29,10",https://www.cosmeticosalpormayor.com/products/mascara-de-pestanas-resistente-al-agua-colossal-212-muy-negro-maybelline-venta-al-por-mayor-72-unidades-k32831?_pos=1&_sid=0aeb5efc7&_ss=r,,10,0,5,"167,08%"
K48608,Delineador de ojos Hyper Easy Mechanical Negro Maybelline,"6,93",3,"2,31","3,27","9,81","5,78",Ultraliviano,"2,81","5,62","16,85",https://www.cosmeticosalpormayor.com/products/delineador-de-ojos-hyper-easy-mechanical-negro-maybelline-venta-al-por-mayor-72-unidades-k48608?_pos=1&_sid=5ea5f0523&_ss=r,,5,0,3,"86,58%"
M230,Máscara Colosal Maybelline # 230 Negro Glamour,"34,84",6,"5,81","8,22","49,32","14,52",Ultraliviano,"7,06","14,12","84,70",https://www.cosmeticosalpormayor.com/products/mascara-de-pestanas-colosal-maybelline-230-negro-glamour-venta-al-por-mayor-6pcs-m230?_pos=1&_sid=a08f756f3&_ss=r,,14,0,6,"96,44%"
MLSN,Lápiz Labial Colour Statement Milani,"4,83",3,"1,61","2,28","6,84","4,03",Ultraliviano,"1,96","3,91","11,74",https://www.cosmeticosalpormayor.com/products/lapiz-labial-colour-statement-surtido-milani-venta-al-por-mayor-12-unidades-mlsn?_pos=1&_sid=1d6c52ba3&_ss=r,,3,0,3,"74,53%"
MLNI-0014,Brillo de Labios Ludicrous Lights # 110 Milani Azul,"9,39",3,"3,13","4,43","13,29","7,83",Ultraliviano,"3,80","7,61","22,83",https://www.cosmeticosalpormayor.com/products/brillo-ludicrous-lights-110-milani-venta-al-por-mayor-12-unidades-mlni-0014?_pos=1&_sid=8a67c6a14&_ss=r,,7,0,3,"89,46%"
MLNI-0052,Brillo de labios Ludicrous Lights Milani Naranja,"9,39",3,"3,13","4,43","13,29","7,83",Ultraliviano,"3,80","7,61","22,83",https://www.cosmeticosalpormayor.com/products/brillo-ludicrous-lights-110-milani-venta-al-por-mayor-12-unidades-mlni-0014?_pos=1&_sid=fd063f1a7&_ss=r,,7,0,3,"89,46%"
NYHDPHC,Corrector Surtido Hd Studio Photogenic NYX,"11,96",4,"2,99","4,23","16,93","7,48",Ultraliviano,"3,63","7,27","29,08",https://www.cosmeticosalpormayor.com/products/brillo-de-labios-ludicrous-lights-230-milani-venta-al-por-mayor-12-unidades-mlni-0052?_pos=1&_sid=40655bade&_ss=r,,7,0,4,"93,65%"
S-336,Tatuaje de labio Profusion ,8,4,"2,00","2,83","11,32","5,00",Ultraliviano,"2,43","4,86","19,45",,https://elpalaciodelosdetalles.com/wp-content/uploads/2023/05/2-8.webp,3,0,4,"60,00%"
S340,Base BB Mate con Protector Solar Romantic Beauty,"5,56",4,"1,39","1,97","7,87","3,48",Ultraliviano,"1,69","3,38","13,52",https://www.cosmeticosalpormayor.com/products/base-bb-mate-con-protector-solar-romantic-beauty-venta-al-por-mayor-display-24-unidades-s340?_pos=1&_sid=02ebf86a3&_ss=r,,3,0,4,"86,33%"
HB-555-4,Tinte Labial Pitaya Pool Ruby Rose ,8,4,"2,00","2,83","11,32","5,00",Ultraliviano,"2,43","4,86","19,45",https://cosmeticosalpormayor.com/products/tinte-labial-pitaya-pool-ruby-rose-venta-al-por-mayor-24-unidades-hb-555-4?_pos=1&_sid=769ac19f8&_ss=r,,5,0,4,"100,00%"
HB-8221-3,Aceite Labial Laranja Ruby Rose,"6,4",4,"1,60","2,26","9,06","4,00",Ultraliviano,"1,94","3,89","15,56",https://www.cosmeticosalpormayor.com/products/aceite-labial-laranja-ruby-rose-venta-al-por-mayor-48-unidades-hb-8221-3?_pos=1&_sid=78bf2ddf0&_ss=r,,4,0,4,"100,00%"
HB-8221-4,Aceite Labial Melancia Ruby Rose ,"6,4",4,"1,60","2,26","9,06","4,00",Ultraliviano,"1,94","3,89","15,56",https://www.cosmeticosalpormayor.com/products/aceite-labial-melancia-ruby-rose-venta-al-por-mayor-48-unidades-hb-8221-4?_pos=2&_sid=934934c22&_ss=r,,4,0,4,"100,00%"
HB-8309-3,Máscara de Pestañas Tropico Extensión de Volumen Ruby Rose,"10,8",6,"1,80","2,55","15,29","4,50",Ultraliviano,"2,19","4,38","26,26",https://www.cosmeticosalpormayor.com/products/mascara-de-pestanas-tropico-extension-de-volumen-ruby-rose-venta-al-por-mayor-36-unidades-hb-8309-3?_pos=2&_sid=cc809485d&_ss=r,,4,0,6,"88,89%"
TBCSBRON,Bronceador Staycation The Beauty Crop,"5,84",4,"1,46","2,07","8,27","3,65",Ultraliviano,"1,77","3,55","14,20",https://www.cosmeticosalpormayor.com/products/bronceador-staycation-the-beauty-crop-venta-al-por-mayor-12-unidades-tbcsbron?_pos=3&_sid=46200e41f&_ss=r,,3,0,4,"82,19%"
TBCASS,The Beauty Crop,3,1,"3,00","4,25","4,25","7,50",Ultraliviano,"3,65","7,29","7,29",,https://www.macys.com/shop/product/womens-eye-love-moi-set?ID=14097848,7,0,1,"93,33%"
APPINK,Esponjas Puff de Polvo Terciopelo Triangular Rosa Totémica,"3,48",6,"0,58","0,82","4,93","1,45",Ultraliviano,"0,71","1,41","8,46",https://www.cosmeticosalpormayor.com/products/esponjas-puff-de-polvo-terciopelo-triangular-rosa-totemica-venta-al-por-mayor-24-unidades-appink?_pos=1&_sid=0e1139df4&_ss=r,,2,0,6,"137,93%"
MFRP,Almohadillas Desmaquillantes De Microfibra Totémica,"4,6",2,"2,30","3,26","6,51","5,75",Ultraliviano,"2,80","5,59","11,18",https://www.cosmeticosalpormayor.com/products/almohadillas-desmaquillantes-de-microfibra-totemica-venta-al-por-mayor-10-unidades-mfrp?_pos=1&_sid=005420c60&_ss=r,,5,0,2,"86,96%"
VR01,Pestañas Naturales de Visón 3D Laflare,5,4,"1,25","1,77","7,08","3,13",Ultraliviano,"1,52","3,04","12,16",https://www.cosmeticosalpormayor.com/products/pestanas-naturales-de-vison-3d-laflare-venta-al-por-mayor-10-unidades-vr01?_pos=1&_sid=6c47c50b0&_ss=r,,3,0,4,"96,00%"
K3458701,Lápiz Labial Push-Up Lip Lingerie Seducción NYX,"2,5",1,"2,50","3,54","3,54","6,25",Ultraliviano,"3,04","6,08","6,08",https://www.cosmeticosalpormayor.com/products/lapiz-labial-push-up-lip-lingerie-seduccion-nyx-venta-al-por-mayor-72-unidades-k3459302?_pos=1&_sid=a1fd8857c&_ss=r,,6,0,1,"96,00%"
K3459200,Lápiz Labial Push-Up Lip Lingerie Exótica NYX,"2,5",1,"2,50","3,54","3,54","6,25",Ultraliviano,"3,04","6,08","6,08",https://www.cosmeticosalpormayor.com/products/lapiz-labial-push-up-lip-lingerie-exotica-nyx-venta-al-por-mayor-72-unidades-k3459200?_pos=1&_sid=2cdff8c59&_ss=r,,6,0,1,"96,00%"
NO HAY CODIGO,Lapiz Labial Cremoso Y Super Pigmentado Nyx,5,2,"2,50","3,54","7,08","6,25",Ultraliviano,"3,04","6,08","12,16",,https://http2.mlstatic.com/D_NQ_NP_2X_968192-MLV54370268353_032023-F.webp,5,0,2,"80,00%"
NO HAY CODIGO,NYX Jumbo Eye Pencil 630 cashmere,"6,75",3,"2,25","3,19","9,56","5,63",Ultraliviano,"2,74","5,47","16,41",,https://m.media-amazon.com/images/I/51bQ3FGe+9L._SL1000_.jpg,6,0,3,"106,67%"
S340,Base BB Mate con Protector Solar Romantic Beauty,"5,56",4,"1,39","1,97","7,87","3,48",Ultraliviano,"1,69","3,38","13,52",,https://www.cosmeticosalpormayor.com/cdn/shop/files/ROMANTICBEAUTY_S340_BBMATTESUNSCREENFOUNDATIONDISPLAY24UNITS_2_1024x1024.jpg?v=1699462338,3,0,4,"86,33%"
NO HAY CODIGO,Lápiz De Tinta Para Cejas Maybelline Tattoo Studio 24h ,"2,25",1,"2,25","3,19","3,19","5,63",Ultraliviano,"2,74","5,47","5,47",,https://http2.mlstatic.com/D_NQ_NP_877983-MLV72182024756_102023-O.webp,6,0,1,"106,67%"
NO HAY CODIGO,Lápiz delineador de ojos Emerald Lights Maybelline,"2,25",1,"2,25","3,19","3,19","5,63",Ultraliviano,"2,74","5,47","5,47",,https://m.media-amazon.com/images/I/41Z+NYzHIqL._SL1001_.jpg,6,0,1,"106,67%"
NO HAY CODIGO,Sombra de ojos Color Tattoo Maybelline Front Runner,"2,25",1,"2,25","3,19","3,19","5,63",Ultraliviano,"2,74","5,47","5,47",,https://m.media-amazon.com/images/I/81IaBxFkAcL._SL1500_.jpg,5,0,1,"88,89%"
NO HAY CODIGO,"Maybelline Color Sensational Cream Finish Lipstick, Blissful Berry","2,25",1,"2,25","3,19","3,19","5,63",Ultraliviano,"2,74","5,47","5,47",,https://i5.walmartimages.com/seo/Maybelline-Color-Sensational-Cream-Finish-Lipstick-Blissful-Berry_1da4ff65-7be1-475d-a5e6-d6b57865dd3b.adbc8e8301867e028083ac36025b5343.png?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,6,0,1,"106,67%"
